FileName,SIZE,DIM,LID,Sum_K_MinDist,Sum_K_MaxDist,Sum_K_StdDist,q_SIZE,q_K_MinRatio,q_K_MaxRatio,q_K_MeanRatio,q_K_StdRatio,index_type,M,efConstruction,ef,nlist,nprobe,m,nbits,reorder_k,dataCoord*segment*maxSize,queryCoord*autoHandoff,queryCoord*autoBalance,common*gracefulTime,dataNode*segment*insertBufSize,rootCoord*minSegmentSizeToEnableIndex,dataCoord*segment*sealProportion,construction_time,memory,recall,search_time,construct_dc_counts,search_dc_counts,average_construct_dc_counts,average_search_dc_counts,whole_search_time
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,FLAT,15,252,118,768,77,128,8,382,6009,False,True,35629,3452892810,956,45,0.0,0,0.99997,0.0926800473360344,1000000,926800473,2,92681,926.800473360344
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,AUTOINDEX,57,300,955,8644,26,1,4,571,8916,False,True,39537,5187190192,299,72,0.0,0,0.25045,0.0198358721332624,1000000,198358721,2,19836,198.358721332624
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,IVF_FLAT,26,176,900,1142,60,64,5,561,5498,False,True,18461,3977725538,6834,45,0.0,0,0.97993,0.0553962814621627,1370400,553962814,2,55397,553.962814621627
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,AUTOINDEX,59,173,361,876,56,1,3,244,3214,False,True,34843,9168878836,6721,61,0.0,0,0.24736,0.019228801713325,1000000,192288017,2,19229,192.28801713325
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,AUTOINDEX,22,367,424,2906,80,8,4,695,2323,False,True,30235,7916084481,6822,92,0.0,0,0.25064,0.0193357484415173,1000000,193357484,2,19336,193.35748441517302
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,IVF_FLAT,53,465,504,5830,4,2,5,781,9876,False,False,70321,3572029913,7750,91,0.0,0,0.62903,0.0293997868429869,466400,293997868,1,29400,293.997868429869
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,IVF_SQ8,31,422,134,9222,73,16,6,985,623,True,True,12176,6782401047,581,18,0.0,0,0.97459,0.0484533928101882,13464120,484533928,14,48454,484.533928101882
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,IVF_PQ,12,212,707,7726,64,4,4,567,7733,True,True,57713,2045709640,3312,20,0.0,0,0.0693199999999999,0.0316633703885599,9889280,316633703,10,31664,316.633703885599
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,SCANN,20,182,691,7547,62,32,7,956,2852,False,True,62382,3633469482,1496,31,0.0,0,0.99921,0.0056348103564232,9560,56348103,1,5635,56.348103564232
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,FLAT,43,251,622,2958,41,16,3,192,2638,True,False,73082,2298727093,7925,68,0.0,0,0.99997,0.0926270626718178,1000000,926270626,2,92628,926.270626718178
