FileName,SIZE,DIM,LID,Sum_K_MinDist,Sum_K_MaxDist,Sum_K_StdDist,q_SIZE,q_K_MinRatio,q_K_MaxRatio,q_K_MeanRatio,q_K_StdRatio,efConstruction,M,efSearch,construction_time,memory,recall,search_time,construct_dc_counts,search_dc_counts,average_construct_dc_counts,average_search_dc_counts,whole_search_time
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,120,8,600,0.0,0,0.8854330000000001,0.0052287184400483,1044378,52287184,1,5229,52.287184400483
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,120,16,100,0.0,0,0.8265899999999999,0.0034529202850535,2088757,34529202,2,3453,34.529202850535
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,120,16,200,0.0,0,0.8831559999999999,0.0040711859008297,2088757,40711859,2,4072,40.711859008297
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,120,16,400,0.0,0,0.927562,0.0048065467970445,2088757,48065467,2,4807,48.065467970445
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,120,16,600,0.0,0,0.952486,0.0055374952498823,2088757,55374952,2,5538,55.374952498823
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,120,32,100,0.0,0,0.867275,0.0035795594332739,4177514,35795594,4,3580,35.795594332739
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,120,32,200,0.0,0,0.926389,0.0043784596025943,4177514,43784596,4,4379,43.784596025943
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,120,32,400,0.0,0,0.961147,0.0053845191374421,4177514,53845191,4,5385,53.845191374421
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,120,32,600,0.0,0,0.97773,0.0064936662558466,4177514,64936662,4,6494,64.936662558466
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,200,4,100,0.0,0,0.5378029999999999,0.0035497152945026,870315,35497152,1,3550,35.497152945026
