FileName,SIZE,DIM,LID,Sum_K_MinDist,Sum_K_MaxDist,Sum_K_StdDist,q_SIZE,q_K_MinRatio,q_K_MaxRatio,q_K_MeanRatio,q_K_StdRatio,index_type,M,efConstruction,ef,nlist,nprobe,m,nbits,reorder_k,dataCoord*segment*maxSize,queryCoord*autoHandoff,queryCoord*autoBalance,common*gracefulTime,dataNode*segment*insertBufSize,rootCoord*minSegmentSizeToEnableIndex,dataCoord*segment*sealProportion,construction_time,memory,recall,search_time,construct_dc_counts,search_dc_counts,average_construct_dc_counts,average_search_dc_counts,whole_search_time
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,SCANN,57,17,250,5598,18,4,9,892,2950,True,False,85385,1125115047,5895,7,0.0,0,0.9998400000000002,0.0077564507722854,2820,77564507,1,7757,77.564507722854
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,IVF_FLAT,31,49,925,5324,9,1,6,295,5628,False,False,72980,3622153003,9188,59,0.0,0,0.94823,0.0546567006967961,303047,546567006,4,54657,546.567006967961
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,AUTOINDEX,26,297,790,9634,92,1,7,351,739,True,True,85469,8737521731,1830,57,0.0,0,0.34193,0.0033146448433399,316227,33146448,4,3315,33.146448433399
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,FLAT,42,385,180,3459,97,64,4,735,7751,True,False,74314,3699789150,5475,82,0.0,0,0.9998400000000002,0.0720664441119879,316227,720664441,4,72067,720.664441119879
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,AUTOINDEX,46,48,884,9117,81,32,4,464,5781,True,True,90652,1475838228,3475,33,0.0,0,0.39496,0.0037174773402512,316227,37174773,4,3718,37.174773402512
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,IVF_SQ8,18,478,455,3751,66,4,1,799,6953,False,True,14608,618655416,8797,76,0.0,0,0.98135,0.0159736576024442,1565744,159736576,16,15974,159.736576024442
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,HNSW,12,147,840,4548,55,16,1,428,6492,False,True,98763,9783142588,3800,99,0.0,0,0.82196,0.0211882975883781,557825,211882975,6,21189,211.88297588378103
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,IVF_PQ,21,219,471,1602,20,4,2,384,394,False,True,92638,2741393535,6544,50,0.0,0,0.03982,0.0043693095445632,202638,43693095,3,4370,43.693095445632004
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,AUTOINDEX,43,168,454,7799,14,32,7,478,1637,True,False,84956,339050474,6776,20,0.0,0,0.32048,0.0034192781429737,316227,34192781,4,3420,34.192781429737
vdb_random-match-int-2048-angular-no-filters,100000.0,2048.0,133.0558312914499,8.543789863586426,9.41742992401123,0.1165661290287971,10000.0,0.9665960073471068,0.9820473790168762,0.9714471697807312,0.0040531270205974,IVF_FLAT,61,50,483,423,99,8,4,779,822,True,True,19615,8065814110,6458,34,0.0,0,0.9998400000000002,0.0507787471637129,264853,507787471,3,50779,507.78747163712904
